,Mean,Median
MAE,4.636066324042301,3.808697268385657
MSE,37.655366344344685,26.11595692427152
RMSE,5.86301651418315,5.110377375915748
R^2,-2.9472030941524556,-0.8117976106484421
MAPE,40.43743045606153,33.647705591861346
