,Mean,Median
MAE,4.302472975140552,3.816102243313201
MSE,30.682048409172,20.862700913120094
RMSE,5.1045272814370355,4.56757033033243
R^2,-21.328478719217333,-8.843256915396642
MAPE,37.681118988528574,27.63297245216522
