,Mean,Median
MAE,4.354161531769026,3.685467615793697
MSE,33.92887180607364,20.364466605083408
RMSE,5.21663950815378,4.51241738912908
R^2,-30.15736322285137,-6.937137151353939
MAPE,38.21471391422724,25.229247647968883
