,Mean,Median
MAE,4.540278792736889,4.364434687156971
MSE,32.92417122133037,29.648811212569207
RMSE,5.510211971604588,5.44507219534959
R^2,-2.4576266373503657,-0.433507113997309
MAPE,37.75497126180951,35.295280922489155
